Asset_ID,Avg_Utilization,Avg_Waiting_Time,Avg_Demand,Avg_Inventory,Delay_Rate,Transactions
Truck_1,80.51685393258427,37.02247191011236,194.13483146067415,289.7865168539326,0.5168539325842697,89
Truck_10,79.57523809523809,32.2952380952381,194.14285714285714,313.1047619047619,0.6476190476190476,105
Truck_2,80.15523809523809,35.23809523809524,196.53333333333333,294.4,0.5333333333333333,105
Truck_3,80.0978494623656,36.86021505376344,203.95698924731184,280.6559139784946,0.6236559139784946,93
Truck_4,79.0607476635514,35.308411214953274,207.53271028037383,292.2056074766355,0.5887850467289719,107
Truck_5,76.59569892473118,34.494623655913976,200.19354838709677,309.31182795698925,0.4946236559139785,93
Truck_6,79.026213592233,35.61165048543689,184.49514563106797,297.2621359223301,0.5242718446601942,103
Truck_7,80.66960784313724,36.72549019607843,201.83333333333334,290.2156862745098,0.5882352941176471,102
Truck_8,80.24495412844037,33.36697247706422,198.55963302752295,322.86238532110093,0.5688073394495413,109
Truck_9,79.9436170212766,34.159574468085104,212.3404255319149,285.01063829787233,0.5638297872340425,94
