Hour,Avg_Demand,Avg_Waiting_Time,Avg_Utilization,Delay_Rate
0,193.93617021276594,36.06382978723404,78.07659574468084,0.5319148936170213
1,203.14285714285714,31.485714285714284,77.74857142857142,0.5428571428571428
2,180.56410256410257,36.743589743589745,80.96410256410256,0.5128205128205128
3,210.30232558139534,32.74418604651163,79.26279069767442,0.5581395348837209
4,198.6046511627907,36.372093023255815,81.65581395348836,0.6511627906976745
5,197.0,32.15151515151515,80.04242424242425,0.45454545454545453
6,202.22222222222223,36.638888888888886,76.07499999999999,0.5833333333333334
7,193.73529411764707,34.529411764705884,80.17941176470588,0.5
8,203.8,32.72,80.812,0.64
9,204.8409090909091,32.31818181818182,79.425,0.4772727272727273
10,197.60344827586206,36.89655172413793,80.31379310344828,0.5344827586206896
11,191.97619047619048,34.54761904761905,81.24285714285713,0.5476190476190477
12,197.5818181818182,37.236363636363635,80.67636363636363,0.6
13,183.46875,32.78125,77.825,0.5625
14,202.8372093023256,39.883720930232556,79.53255813953488,0.6744186046511628
15,215.5,34.175,80.175,0.625
16,192.6,33.55,79.475,0.55
17,205.97222222222223,37.5,83.50555555555555,0.6944444444444444
18,198.95454545454547,35.27272727272727,76.0340909090909,0.45454545454545453
19,188.94117647058823,34.6764705882353,81.34705882352942,0.6176470588235294
20,195.39473684210526,31.342105263157894,81.89999999999999,0.6052631578947368
21,211.56521739130434,37.95652173913044,80.41521739130435,0.6086956521739131
22,198.66666666666666,34.354166666666664,76.20625,0.4375
23,206.725,36.725,77.47749999999999,0.625
